title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Rep. Denny Heck,H001064,Denny,Heck,rep,10,WA,D,https://www.facebook.com/CongressmanDennyHeck/,@RepDennyHeck,supporter,,,
Rep. Jaime Herrera Beutler,H001056,Jaime,Herrera Beutler,rep,3,WA,R,https://www.facebook.com/herrerabeutler/,@HerreraBeutler,supporter,,,
Rep. Jody Hice,H001071,Jody,Hice,rep,10,GA,R,https://www.facebook.com/CongressmanJodyHice/,@CongressmanHice,supporter,,,
Rep. Brian Higgins,H001038,Brian,Higgins,rep,26,NY,D,https://www.facebook.com/RepBrianHiggins/,@RepBrianHiggins,supporter,,,
Rep. Clay Higgins,H001077,Clay,Higgins,rep,3,LA,R,https://www.facebook.com/CongressmanClayHiggins/,@RepClayHiggins,supporter,,,
Rep. Katie Hill ,H001087,Katie,Hill,rep,25,CA,D,https://www.facebook.com/RepKatieHill/,@RepKatieHill,supporter,,,
Rep. French Hill,H001072,French,Hill,rep,2,AR,R,https://www.facebook.com/RepFrenchHill/,@RepFrenchHill,supporter,,,
Rep. Jim Himes,H001047,Jim,Himes,rep,4,CT,D,https://www.facebook.com/CongressmanJimHimes/,@jahimes,supporter,,,
Rep. George Holding,H001065,George,Holding,rep,2,NC,R,https://www.facebook.com/CongressmanGeorgeHolding/,@RepHolding,supporter,,,
Rep. Trey Hollingsworth,H001074,Trey,Hollingsworth,rep,9,IN,R,https://www.facebook.com/RepTrey/,@RepTrey,supporter,,,
Rep. Eleanor Holmes North,N000147,Eleanor,Holmes Norton,rep,1,DC,D,https://www.facebook.com/CongresswomanNorton/,@EleanorNorton,supporter,,,
Rep. Steven Horsford,H001066,Steven,Horsford,rep,4,NV,D,https://www.facebook.com/stevenhorsford/,@RepHorsford,supporter,,,
Rep. Chrissy Houlahan,H001085,Chrissy,Houlahan,rep,6,PA,D,https://www.facebook.com/HoulahanForPA/,@RepHoulahan,supporter,,,
Rep. Richard Hudson,H001067,Richard,Hudson,rep,8,NC,R,https://www.facebook.com/RepRichHudson/,@RepRichHudson,supporter,,,
Rep. Bill Huizenga,H001058,Bill,Huizenga,rep,2,MI,R,https://www.facebook.com/rephuizenga/,@RepHuizenga,supporter,,,
Rep. Duncan Hunter,H001048,Duncan,Hunter,rep,50,CA,R,https://www.facebook.com/DuncanHunter/,@Rep_Hunter,supporter,,,
Rep. Will Hurd,H001073,Will,Hurd,rep,23,TX,R,https://www.facebook.com/HurdOnTheHill/,@HurdOnTheHill,supporter,,,
Rep. Bill Johnson,J000292,Bill,Johnson,rep,6,OH,R,https://www.facebook.com/RepBillJohnson/,@RepBillJohnson,supporter,,,
Rep. Mike Johnson,J000299,Mike,Johnson,rep,4,LA,R,https://www.facebook.com/RepMikeJohnson/,@RepMikeJohnson,supporter,,,
Rep. John Joyce,J000302,John,Joyce,rep,13,PA,R,https://www.facebook.com/RepJohnJoyce/,@RepJohnJoyce,supporter,,,
Rep. David Joyce,J000295,David,Joyce,rep,14,OH,R,https://www.facebook.com/RepDaveJoyce/,@RepDaveJoyce,supporter,,,
Rep. John Katko,K000386,John,Katko,rep,24,NY,R,https://www.facebook.com/RepJohnKatko/,@RepJohnKatko,supporter,,,
